date,daily_count
2026-05-31,9171
2026-06-01,8245
2026-06-02,8081
2026-06-03,9086
2026-06-04,8998
2026-06-05,8171
2026-06-06,8127
2026-06-07,7946
2026-06-08,10243
2026-06-09,10803
2026-06-10,9701
2026-06-11,9455
2026-06-12,9935
2026-06-13,12734
2026-06-14,11636
2026-06-15,10983
2026-06-16,10670
2026-06-17,11088
2026-06-18,11155
2026-06-19,11447
2026-06-20,11383
2026-06-21,11172
2026-06-22,11070
2026-06-23,11053
2026-06-24,11053
2026-06-25,11077
2026-06-26,11093
2026-06-27,13606
2026-06-28,14811
2026-06-29,13576
2026-06-30,13628
2026-07-01,13631
2026-07-02,14143
2026-07-03,14236
2026-07-04,14931
2026-07-05,3542
